,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,0,1024 64,24 64,70,70,224150435,414731026,420784520,4473187932,102762000000000,49431022825
yxp_os,459,512 48,18 16,43,27,22569600,174136255,245880487,3742386454,38609600000000,21568093739
xp_ws,459,512 48,18 16,43,27,137054400,152035736,26666567,3788491016,38609600000000,21568093739
rs,1137,1024 24,18 40,43,27,135422622,152035736,243310434,3788491016,38536000000000,21568093739
ykp_os,967,896 28,18 36,43,27,8919000,152035736,247317695,3788491016,39349500000000,21568093739
