latency,area,power,energy
26320618.266074102,33130712.349437863,2.9835944138029586,16571134.695269693
3204120.0,33130712.349437863,0.008762945097633135,10620.551821114022
10841897.883035887,33130712.349437863,1.7477844589059175,3744694.622688736
28647907.258035887,66261424.698875725,27.996920983515977,233681223.50965062
13749679.133035887,33130712.349437863,3.5048049304798816,11051650.630602939
13265679.133035887,33130712.349437863,3.4892954046668643,10439170.750357017
7508050.0,0.0,0.0,0.0
13749679.133035887,33130712.349437863,3.5048049304798816,11051650.630602939
28647907.258035887,66261424.698875725,27.996920983515977,233681223.50965062
13749679.133035887,33130712.349437863,3.5048049304798816,11051650.630602939
7508050.0,0.0,0.0,0.0
13749679.133035887,33130712.349437863,3.5048049304798816,11051650.630602939
28647907.258035887,66261424.698875725,27.996920983515977,233681223.50965062
13749679.133035887,33130712.349437863,3.5048049304798816,11051650.630602939
7943650.0,0.0,0.0,0.0
18835082.258035887,33130712.349437863,7.003336347814794,34496185.5465493
7519319.20340501,165653561.7471893,69.99230245878994,153717239.60587007
7642019.20340501,33130712.349437863,14.000399182484616,31343158.702049293
7519319.20340501,331307123.4943786,139.98460491757987,307434479.21174014
3658144.0,0.0,0.0,0.0
7642019.20340501,33130712.349437863,14.000399182484616,31343158.702049293
7426979.20340501,165653561.7471893,69.99230245878994,151463631.91077062
7642019.20340501,33130712.349437863,14.000399182484616,31343158.702049293
3582880.0,0.0,0.0,0.0
7642019.20340501,33130712.349437863,14.000399182484616,31343158.702049293
7426979.20340501,165653561.7471893,69.99230245878994,151463631.91077062
7642019.20340501,33130712.349437863,14.000399182484616,31343158.702049293
4109728.0,0.0,0.0,0.0
7642019.20340501,33130712.349437863,14.000399182484616,31343158.702049293
7426979.20340501,165653561.7471893,69.99230245878994,151463631.91077062
7642019.20340501,33130712.349437863,14.000399182484616,31343158.702049293
4410784.0,0.0,0.0,0.0
7642019.20340501,66261424.698875725,28.00079836496923,62686317.404098585
1880504.80085126,629483534.6393194,265.9707493434018,146093962.86283565
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
1880504.80085126,1225836356.929201,517.9430381950456,284498769.78552204
2203432.0,0.0,0.0,0.0
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
1857864.80085126,629483534.6393194,265.9707493434018,143994271.20991504
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
1488424.0,0.0,0.0,0.0
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
1857864.80085126,629483534.6393194,265.9707493434018,143994271.20991504
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
2391592.0,0.0,0.0,0.0
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
1857864.80085126,629483534.6393194,265.9707493434018,143994271.20991504
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
1375528.0,0.0,0.0,0.0
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
1857864.80085126,629483534.6393194,265.9707493434018,143994271.20991504
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
2429224.0,0.0,0.0,0.0
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
1857864.80085126,629483534.6393194,265.9707493434018,143994271.20991504
1910504.80085126,132522849.39775145,56.00159672993846,31343158.70204927
2579752.0,0.0,0.0,0.0
1910504.80085126,265045698.7955029,112.00319345987693,62686317.40409854
470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711
477626.20021281455,530091397.5910058,224.00638691975385,31343158.702049267
470446.20021281455,4903345427.716804,2071.7721527801823,284729869.4025422
1044778.0,0.0,0.0,0.0
477626.20021281455,530091397.5910058,224.00638691975385,31343158.702049267
465026.20021281455,2451672713.858402,1035.8860763900911,140407125.8150896
477626.20021281455,530091397.5910058,224.00638691975385,31343158.702049267
1270570.0,0.0,0.0,0.0
477626.20021281455,530091397.5910058,224.00638691975385,31343158.702049267
465026.20021281455,2451672713.858402,1035.8860763900911,140407125.8150896
477626.20021281455,530091397.5910058,224.00638691975385,31343158.702049267
1439914.0,0.0,0.0,0.0
27257.473473730908,25974478481.959286,10976.312959067938,31343158.702049263
388953210.77764946,49431022825.3613,20780.268535930158,4473187932.48788
0.0,480601.299,0.14512670499999997,0.0
