DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,70,0,4.2734739465347896e+18,0.0,8733970665,0,489293370,0,6459620000000,0,pass
2,256 20,6 44,70,0,4.2734739465347896e+18,0.0,8733970665,0,489293370,0,8074520000000,0,pass
3,256 24,6 40,70,0,4.2734739465347896e+18,0.0,8733970665,0,489293370,0,9689420000000,0,pass
4,256 28,6 36,70,0,4.2734739465347896e+18,0.0,8733970665,0,489293370,0,11304300000000,0,pass
5,256 32,6 32,70,0,4.2734739465347896e+18,0.0,8733970665,0,489293370,0,12919200000000,0,pass
6,256 36,6 28,70,0,4.2734739465347896e+18,0.0,8733970665,0,489293370,0,14534100000000,0,pass
7,256 40,6 24,70,0,4.2734739465347896e+18,0.0,8733970665,0,489293370,0,16149000000000,0,pass
8,256 44,6 20,70,0,4.2734739465347896e+18,0.0,8733970665,0,489293370,0,17763900000000,0,pass
9,256 48,6 16,70,0,4.2734739465347896e+18,0.0,8733970665,0,489293370,0,19378800000000,0,pass
10,256 16,7 48,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,6459620000000,2451672713,pass
11,256 20,7 44,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,8074520000000,2451672713,pass
12,256 24,7 40,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,9689420000000,2451672713,pass
13,256 28,7 36,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,11304300000000,2451672713,pass
14,256 32,7 32,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,12919200000000,2451672713,pass
15,256 36,7 28,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,14534100000000,2451672713,pass
16,256 40,7 24,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,16149000000000,2451672713,pass
17,256 44,7 20,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,17763900000000,2451672713,pass
18,256 48,7 16,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,19378800000000,2451672713,pass
19,256 16,8 48,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,6459620000000,2451672713,pass
20,256 20,8 44,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,8074520000000,2451672713,pass
21,256 24,8 40,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,9689420000000,2451672713,pass
22,256 28,8 36,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,11304300000000,2451672713,pass
23,256 32,8 32,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,12919200000000,2451672713,pass
24,256 36,8 28,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,14534100000000,2451672713,pass
25,256 40,8 24,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,16149000000000,2451672713,pass
26,256 44,8 20,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,17763900000000,2451672713,pass
27,256 48,8 16,69,1,3.5754810826347935e+18,66975042573758.445,7601508585,470446,470364670,142364934,19378800000000,2451672713,pass
28,256 16,9 48,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,6459620000000,4903345427,pass
29,256 20,9 44,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,8074520000000,4903345427,pass
30,256 24,9 40,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,9689420000000,4903345427,pass
31,256 28,9 36,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,11304300000000,4903345427,pass
32,256 32,9 32,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,12919200000000,4903345427,pass
33,256 36,9 28,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,14534100000000,4903345427,pass
34,256 40,9 24,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,16149000000000,4903345427,pass
35,256 44,9 20,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,17763900000000,4903345427,pass
36,256 48,9 16,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,19378800000000,4903345427,pass
37,256 16,10 48,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,6459620000000,4903345427,pass
38,256 20,10 44,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,8074520000000,4903345427,pass
39,256 24,10 40,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,9689420000000,4903345427,pass
40,256 28,10 36,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,11304300000000,4903345427,pass
41,256 32,10 32,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,12919200000000,4903345427,pass
42,256 36,10 28,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,14534100000000,4903345427,pass
43,256 40,10 24,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,16149000000000,4903345427,pass
44,256 44,10 20,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,17763900000000,4903345427,pass
45,256 48,10 16,68,2,3.0546978035313674e+18,264525458224541.25,6657790185,935472,458815570,282772060,19378800000000,4903345427,pass
46,256 16,11 48,66,4,2.1962678588538708e+18,1867787138883207.2,5100654825,3281003,430585470,569273149,6459620000000,7984501676,pass
47,256 20,11 44,66,4,2.1962678588538708e+18,1867787138883207.2,5100654825,3281003,430585470,569273149,8074520000000,7984501676,pass
48,256 24,11 40,66,4,2.1962678588538708e+18,1867787138883207.2,5100654825,3281003,430585470,569273149,9689420000000,7984501676,pass
49,256 28,11 36,66,4,2.1962678588538708e+18,1867787138883207.2,5100654825,3281003,430585470,569273149,11304300000000,7984501676,pass
50,256 32,11 32,66,4,2.1962678588538708e+18,1867787138883207.2,5100654825,3281003,430585470,569273149,12919200000000,7984501676,pass
51,256 36,11 28,66,4,2.1962678588538708e+18,1867787138883207.2,5100654825,3281003,430585470,569273149,14534100000000,7984501676,pass
52,256 40,11 24,66,4,2.1962678588538708e+18,1867787138883207.2,5100654825,3281003,430585470,569273149,16149000000000,7984501676,pass
53,256 44,11 20,66,4,2.1962678588538708e+18,1867787138883207.2,5100654825,3281003,430585470,569273149,17763900000000,7984501676,pass
54,256 48,11 16,66,4,2.1962678588538708e+18,1867787138883207.2,5100654825,3281003,430585470,569273149,19378800000000,7984501676,pass
55,256 16,12 48,64,6,1.6321587497101916e+18,5998031170088880.0,3968192745,6996733,411310350,857261691,6459620000000,9243468745,pass
56,256 20,12 44,64,6,1.6321587497101916e+18,5998031170088880.0,3968192745,6996733,411310350,857261691,8074520000000,9243468745,pass
57,256 24,12 40,64,6,1.6321587497101916e+18,5998031170088880.0,3968192745,6996733,411310350,857261691,9689420000000,9243468745,pass
58,256 28,12 36,64,6,1.6321587497101916e+18,5998031170088880.0,3968192745,6996733,411310350,857261691,11304300000000,9243468745,pass
59,256 32,12 32,64,6,1.6321587497101916e+18,5998031170088880.0,3968192745,6996733,411310350,857261691,12919200000000,9243468745,pass
60,256 36,12 28,64,6,1.6321587497101916e+18,5998031170088880.0,3968192745,6996733,411310350,857261691,14534100000000,9243468745,pass
61,256 40,12 24,64,6,1.6321587497101916e+18,5998031170088880.0,3968192745,6996733,411310350,857261691,16149000000000,9243468745,pass
62,256 44,12 20,64,6,1.6321587497101916e+18,5998031170088880.0,3968192745,6996733,411310350,857261691,17763900000000,9243468745,pass
63,256 48,12 16,64,6,1.6321587497101916e+18,5998031170088880.0,3968192745,6996733,411310350,857261691,19378800000000,9243468745,pass
64,256 16,13 48,61,9,8.678513703226085e+17,1.6206225536974354e+16,2269499625,12570327,382397670,1289244505,6459620000000,11131919349,pass
65,256 20,13 44,61,9,8.678513703226085e+17,1.6206225536974354e+16,2269499625,12570327,382397670,1289244505,8074520000000,11131919349,pass
66,256 24,13 40,61,9,8.678513703226085e+17,1.6206225536974354e+16,2269499625,12570327,382397670,1289244505,9689420000000,11131919349,pass
67,256 28,13 36,61,9,8.678513703226085e+17,1.6206225536974354e+16,2269499625,12570327,382397670,1289244505,11304300000000,11131919349,pass
68,256 32,13 32,61,9,8.678513703226085e+17,1.6206225536974354e+16,2269499625,12570327,382397670,1289244505,12919200000000,11131919349,pass
69,256 36,13 28,61,9,8.678513703226085e+17,1.6206225536974354e+16,2269499625,12570327,382397670,1289244505,14534100000000,11131919349,pass
70,256 40,13 24,61,9,8.678513703226085e+17,1.6206225536974354e+16,2269499625,12570327,382397670,1289244505,16149000000000,11131919349,pass
71,256 44,13 20,61,9,8.678513703226085e+17,1.6206225536974354e+16,2269499625,12570327,382397670,1289244505,17763900000000,11131919349,pass
72,256 48,13 16,61,9,8.678513703226085e+17,1.6206225536974354e+16,2269499625,12570327,382397670,1289244505,19378800000000,11131919349,pass
73,256 16,14 48,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,6459620000000,11993317870,pass
74,256 20,14 44,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,8074520000000,11993317870,pass
75,256 24,14 40,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,9689420000000,11993317870,pass
76,256 28,14 36,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,11304300000000,11993317870,pass
77,256 32,14 32,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,12919200000000,11993317870,pass
78,256 36,14 28,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,14534100000000,11993317870,pass
79,256 40,14 24,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,16149000000000,11993317870,pass
80,256 44,14 20,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,17763900000000,11993317870,pass
81,256 48,14 16,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,19378800000000,11993317870,pass
82,256 16,15 48,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,6459620000000,11993317870,pass
83,256 20,15 44,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,8074520000000,11993317870,pass
84,256 24,15 40,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,9689420000000,11993317870,pass
85,256 28,15 36,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,11304300000000,11993317870,pass
86,256 32,15 32,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,12919200000000,11993317870,pass
87,256 36,15 28,54,16,1.746781004777932e+17,3.334114193562096e+17,553111785,128314305,315809760,2598396311,14534100000000,11993317870,pass
