latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
6717850.867,1166277.2000000002,102762000000000.0,807605500.0,0,8,1024 64,pass
3459713.57696,520781.0,6459620000000.0,50766433.333333336,1,3,256 16,fail
3459713.57696,520781.0,8074520000000.0,63457933.333333336,2,3,256 20,fail
3459713.57696,520781.0,9689420000000.0,76149500.0,3,3,256 24,fail
3459713.57696,520781.0,11304300000000.0,88841000.0,4,3,256 28,fail
3459713.57696,520781.0,12919200000000.0,101532333.33333331,5,3,256 32,fail
3459713.57696,520781.0,14534100000000.0,114224000.0,6,3,256 36,fail
3459713.57696,520781.0,16149000000000.0,126916000.0,7,3,256 40,fail
3459713.57696,520781.0,17763900000000.0,139607000.0,8,3,256 44,fail
3459713.57696,520781.0,19378800000000.0,152299000.0,9,3,256 48,fail
3459713.57696,520781.0,20993700000000.0,164990000.0,10,3,256 52,fail
3459713.57696,520781.0,22608600000000.0,177682000.0,11,3,256 56,fail
4430149.32224,744266.0,6459620000000.0,50766500.0,12,4,256 16,pass
4430149.32224,744266.0,8074520000000.0,63458000.0,13,4,256 20,pass
4430149.32224,744266.0,9689420000000.0,76149525.0,14,4,256 24,pass
4430149.32224,744266.0,11304300000000.0,88841025.0,15,4,256 28,pass
4430149.32224,744266.0,12919200000000.0,101532750.0,16,4,256 32,pass
4430149.32224,744266.0,14534100000000.0,114224000.0,17,4,256 36,pass
4430149.32224,744266.0,16149000000000.0,126916000.0,18,4,256 40,pass
4430149.32224,744266.0,17763900000000.0,139607000.0,19,4,256 44,pass
4430149.32224,744266.0,19378800000000.0,152299000.0,20,4,256 48,pass
4430149.32224,744266.0,20993700000000.0,164990000.0,21,4,256 52,pass
4430149.32224,744266.0,22608600000000.0,177682000.0,22,4,256 56,pass
2875365.1712,434104.0,6459620000000.0,50766450.0,23,2,256 16,fail
2875365.1712,434104.0,8074520000000.0,63457950.0,24,2,256 20,fail
2875365.1712,434104.0,9689420000000.0,76149500.0,25,2,256 24,fail
2875365.1712,434104.0,11304300000000.0,88841000.0,26,2,256 28,fail
2875365.1712,434104.0,12919200000000.0,101532500.0,27,2,256 32,fail
2875365.1712,434104.0,14534100000000.0,114224000.0,28,2,256 36,fail
2875365.1712,434104.0,16149000000000.0,126916000.0,29,2,256 40,fail
2875365.1712,434104.0,17763900000000.0,139607000.0,30,2,256 44,fail
2875365.1712,434104.0,19378800000000.0,152299000.0,31,2,256 48,fail
2875365.1712,434104.0,20993700000000.0,164990000.0,32,2,256 52,fail
2875365.1712,434104.0,22608600000000.0,177682000.0,33,2,256 56,fail
2875365.1712,434104.0,6459620000000.0,50766450.0,34,2,256 16,fail
2875365.1712,434104.0,8074520000000.0,63457950.0,35,2,256 20,fail
2875365.1712,434104.0,9689420000000.0,76149500.0,36,2,256 24,fail
2875365.1712,434104.0,11304300000000.0,88841000.0,37,2,256 28,fail
2875365.1712,434104.0,12919200000000.0,101532500.0,38,2,256 32,fail
2875365.1712,434104.0,14534100000000.0,114224000.0,39,2,256 36,fail
2875365.1712,434104.0,16149000000000.0,126916000.0,40,2,256 40,fail
2875365.1712,434104.0,17763900000000.0,139607000.0,41,2,256 44,fail
2875365.1712,434104.0,19378800000000.0,152299000.0,42,2,256 48,fail
2875365.1712,434104.0,20993700000000.0,164990000.0,43,2,256 52,fail
2875365.1712,434104.0,22608600000000.0,177682000.0,44,2,256 56,fail
2875365.1712,434104.0,6459620000000.0,50766450.0,45,2,256 16,fail
2875365.1712,434104.0,8074520000000.0,63457950.0,46,2,256 20,fail
2875365.1712,434104.0,9689420000000.0,76149500.0,47,2,256 24,fail
2875365.1712,434104.0,11304300000000.0,88841000.0,48,2,256 28,fail
2875365.1712,434104.0,12919200000000.0,101532500.0,49,2,256 32,fail
2875365.1712,434104.0,14534100000000.0,114224000.0,50,2,256 36,fail
2875365.1712,434104.0,16149000000000.0,126916000.0,51,2,256 40,fail
2875365.1712,434104.0,17763900000000.0,139607000.0,52,2,256 44,fail
2875365.1712,434104.0,19378800000000.0,152299000.0,53,2,256 48,fail
2875365.1712,434104.0,20993700000000.0,164990000.0,54,2,256 52,fail
2875365.1712,434104.0,22608600000000.0,177682000.0,55,2,256 56,fail
1085218.4678399998,298791.0,6459620000000.0,50766450.0,56,2,256 16,fail
1085218.4678399998,298791.0,8074520000000.0,63457950.0,57,2,256 20,fail
1085218.4678399998,298791.0,9689420000000.0,76149500.0,58,2,256 24,fail
1085218.4678399998,298791.0,11304300000000.0,88841000.0,59,2,256 28,fail
1085218.4678399998,298791.0,12919200000000.0,101532500.0,60,2,256 32,fail
1085218.4678399998,298791.0,14534100000000.0,114224000.0,61,2,256 36,fail
1085218.4678399998,298791.0,16149000000000.0,126916000.0,62,2,256 40,fail
1085218.4678399998,298791.0,17763900000000.0,139607000.0,63,2,256 44,fail
1085218.4678399998,298791.0,19378800000000.0,152299000.0,64,2,256 48,fail
1085218.4678399998,298791.0,20993700000000.0,164990000.0,65,2,256 52,fail
1085218.4678399998,298791.0,22608600000000.0,177682000.0,66,2,256 56,fail
500870.06208,212114.0,6459620000000.0,50766500.0,67,1,256 16,fail
500870.06208,212114.0,8074520000000.0,63458000.0,68,1,256 20,fail
500870.06208,212114.0,9689420000000.0,76149500.0,69,1,256 24,fail
500870.06208,212114.0,11304300000000.0,88841000.0,70,1,256 28,fail
500870.06208,212114.0,12919200000000.0,101533000.0,71,1,256 32,fail
500870.06208,212114.0,14534100000000.0,114224000.0,72,1,256 36,fail
500870.06208,212114.0,16149000000000.0,126916000.0,73,1,256 40,fail
