latency,area,power,energy
7750492.324699621,9007092.12543787,1.289643261464497,2422702.617452405
783252.0,9007092.12543787,0.008762945097633135,2568.0154889774553
1608863.0170605252,36028368.50175148,22.065554665578702,6628240.285909477
1602083.0170605252,54042552.752627224,33.10414807054793,9916732.869428402
1602083.0170605252,63049644.878065094,38.62150608230591,11569521.6809998
470426.20021281455,45035460.62718935,27.58679005878994,2415003.650254829
36744.0,9007092.12543787,0.008762945097633135,134.68913483431953
30039.473473730908,72056737.00350296,44.15437361987692,79617.32361451082
32095.473473730908,1152907792.0560474,706.4699779180307,1273877.1778321732
18783.473473730908,288226948.01401186,176.61749447950768,318469.2944580433
14831579.99651574,1738368780.209509,1049.9270140462977,34626867.60457345
0.0,0.0,0.0,0.0
