,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,1332,1024 16,13 48,2,17,157326,13319885,673006,23631081,25690900000000,1936955060
yxp_os,296,384 52,13 12,3,16,15236572,11714883,1335295,23369538,31410400000000,2222948425
xp_ws,1333,1024 20,13 44,2,17,14758289,11567777,380418,23664511,32113400000000,2138450385
rs,1333,1024 20,13 44,2,17,14328028,11567777,692385,23664511,32113400000000,2138450385
ykp_os,1333,1024 20,13 44,2,17,1043403,11567777,722502,23664511,32113400000000,2138450385
