,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,0,1024 64,24 64,63,63,1544767,222806636,381035,2133347757,102762000000000,29420072566
yxp_os,1029,1024 24,6 40,46,17,2410050,42590433,1331862,640807739,38536000000000,18056238230
xp_ws,1029,1024 24,6 40,26,37,1281390,140404545,129109,695220517,38536000000000,18718852477
rs,0,1024 64,24 64,63,63,40427085,222806636,1523618,2133347757,102762000000000,29420072566
ykp_os,1029,1024 24,6 40,53,10,2353867,34926224,1104802,620896592,38536000000000,17791192531
