,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,487,3584 16,5 48,15,14,189026,114076459,417038,162570907,89799300000000,579020314
yxp_os,37,1024 16,5 48,26,3,32325120,1405918,4530832,25623104,25690900000000,470454005
xp_ws,37,1024 16,5 48,27,2,150382080,930052,4540163,24843386,25690900000000,458391082
rs,37,1024 16,5 48,27,2,50239938,930052,2748081,24843386,25690900000000,458391082
ykp_os,577,2048 16,5 48,27,2,9449760,930052,3106781,24843386,51333400000000,458391082
