,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,661,1024 16,2 48,12,17,7753991,113236249,790987,110961875,25690900000000,168980195
yxp_os,706,1024 20,6 44,13,16,12229053,61160249,2517597,100189411,32113400000000,941007280
xp_ws,717,1024 20,7 44,13,16,23280596,37491058,1928069,168155088,32113400000000,1254643284
rs,717,1024 20,7 44,13,16,7855371,37491058,1168443,168155088,32113400000000,1254643284
ykp_os,164,384 52,6 12,13,16,8116811,59706589,2332021,79831861,31410400000000,928944357
