,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,1288,3584 16,4 48,45,28,71467.5,54377955.662536815,455269.3680000001,104152038.29821904,89799300000000.0,977707737.968521
yxp_os,0,4096 64,29 64,73,73,16041817.5,77221071.28229201,2497322.8919999995,119212211.53171553,410461000000000.0,8310515772.732429
xp_ws,28,1024 16,4 48,59,14,23620777.5,16465742.457661312,1397298.9719999996,86072085.46890938,25690900000000.0,715821736.7269529
rs,10,1024 16,2 48,72,1,35283847.5,477626.20021281455,1429681.1379999998,2111223.703628158,25690900000000.0,34918133.49887575
ykp_os,532,2048 16,4 48,59,14,1641228.75,16465742.457661312,1181115.292,86072085.46890938,51333400000000.0,715821736.7269529
