,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,0,4096 64,29 64,73,73,461071,77221071,682768,119212211,410461000000000,8310515772
yxp_os,0,4096 64,29 64,73,73,16041817,77221071,2497322,119212211,410461000000000,8310515772
xp_ws,0,4096 64,29 64,73,73,70563367,77221071,2204619,119212211,410461000000000,8310515772
rs,0,4096 64,29 64,73,73,38401927,77221071,1487761,119212211,410461000000000,8310515772
ykp_os,0,4096 64,29 64,73,73,4764528,77221071,1600152,119212211,410461000000000,8310515772
