,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,757,3584 16,6 48,26,27,300658,180250889,654013,353500915,89799300000000,952970933
yxp_os,46,1024 16,7 48,47,6,51041280,2800997,7627587,62888184,25690900000000,1158040628
xp_ws,46,1024 16,7 48,48,5,270704640,2325131,7818236,62108466,25690900000000,1145977705
rs,46,1024 16,7 48,48,5,90339920,2325131,4596456,62108466,25690900000000,1145977705
ykp_os,622,2048 16,7 48,48,5,17020320,2325131,5257719,62108466,51333400000000,1145977705
