,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,859,1024 16,4 48,19,34,14182229,171699940,1484336,256898579,25690900000000,518869540
yxp_os,904,1024 20,8 44,38,15,29046694,59263133,5524754,137454491,32113400000000,1628658476
xp_ws,915,1024 20,9 44,27,26,65198074,108439773,3128143,318622880,32113400000000,2074986635
rs,915,1024 20,9 44,26,27,25761075,65932697,2068289,251170061,32113400000000,2038797865
ykp_os,893,1024 20,7 44,33,20,14995815,42607721,5166902,69537703,32113400000000,1218519086
