,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,0,1024 64,18 64,8,8,1968932,13900568,788262,34626867,102762000000000,1738368780
yxp_os,858,1024 24,9 40,7,1,13200000,30149,955234,1273877,38536000000000,1152907792
xp_ws,858,1024 24,9 40,5,3,15966150,3234315,478769,22760131,38536000000000,1269999989
rs,858,1024 24,9 40,7,1,15100050,30149,860223,1273877,38536000000000,1152907792
ykp_os,858,1024 24,9 40,5,3,1000284,3234315,525707,22760131,38536000000000,1269999989
