,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,0,4096 64,40 64,8,8,787603,13900568,754431,34626867,410461000000000,1738368780
yxp_os,1669,3584 28,9 36,7,1,21120000,32095,955234,1273877,157144000000000,1152907792
xp_ws,1669,3584 28,9 36,5,3,25545840,3236261,478769,22760131,157144000000000,1269999989
rs,1669,3584 28,9 36,7,1,24160080,32095,860223,1273877,157144000000000,1152907792
ykp_os,1669,3584 28,9 36,5,3,1600455,3236261,525707,22760131,157144000000000,1269999989
