,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,1081,1024 16,12 48,2,14,481898,12518924,673006,18924357,25690900000000,1657461545
yxp_os,1082,1024 20,12 44,9,7,33981575,635971,26015796,7488247,32113400000000,1813457926
xp_ws,1082,1024 20,12 44,5,11,40623298,5093636,7383155,16599240,32113400000000,1631462148
rs,1082,1024 20,12 44,7,9,40107280,1925938,10892442,11868190,32113400000000,1592463053
ykp_os,1082,1024 20,12 44,3,13,1223402,10747155,809179,18741096,32113400000000,1650961696
