,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,1354,1024 16,15 48,61,9,212108898,122035027,15778611,590962065,25690900000000,5464984816
yxp_os,1421,1024 20,21 44,39,31,79659209,68086447,19983098,1381128251,32113400000000,10688230568
xp_ws,384,384 52,21 12,33,37,244807199,194880963,7705952,1985560730,31410400000000,10772671030
rs,1421,1024 20,21 44,34,36,105530679,145730787,10999982,1717167613,32113400000000,10712356414
ykp_os,1410,1024 20,20 44,48,22,45955987,76289873,21337444,1094916061,32113400000000,9699070864
