,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,0,1024 64,18 64,8,8,1968932,13900568,788262,34626867,102762000000000,1738368780
yxp_os,324,512 48,9 16,7,1,13200000,56415,955234,1273877,38609600000000,1152907792
xp_ws,324,512 48,9 16,5,3,15966150,3260581,478769,22760131,38609600000000,1269999989
rs,456,640 36,9 28,7,1,15100050,37654,860223,1273877,36168900000000,1152907792
ykp_os,724,896 28,9 36,5,3,1000284,3236261,525707,22760131,39349500000000,1269999989
