,DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area
kcp_ws,579,1024 24,6 40,16,13,1166373,103461694,602967,164662173,38536000000000,784090008
yxp_os,225,512 48,6 16,24,5,15840000,32478550,4253166,45419467,38609600000000,723775392
xp_ws,225,512 48,6 16,23,6,55281600,6968673,3650064,76452418,38609600000000,868530471
rs,490,896 28,6 36,23,6,18497561,6968673,2125721,76452418,39349500000000,868530471
ykp_os,490,896 28,6 36,23,6,3586800,6968673,2405470,76452418,39349500000000,868530471
